Classification,Common Name,Scientific Name,Population Trend,Assessment,Conservation Status,IUCN Link,Kingdom,Class
plantae — magnoliopsida,Pincushion Cactus,Escobaria vivipara,Stable,Global,Least Concern,https://www.iucnredlist.org/species/152233/121527679,plantae,magnoliopsida
animalia — actinopterygii,Northern Pike,Esox lucius,Decreasing,Global,Least Concern,https://www.iucnredlist.org/species/135631/58312794,animalia,actinopterygii
plantae — magnoliopsida,,Eucephalus engelmannii,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311529/67729476,plantae,magnoliopsida
animalia — bivalvia,Ridgedbeak Peaclam,Euglesa compressa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/66639293/66639530,animalia,bivalvia
animalia — bivalvia,Lilljeborg's Pea Mussel,Euglesa lilljeborgii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/155532/58616166,animalia,bivalvia
animalia — bivalvia,Rosy Pea Mussel,Euglesa milium,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/155923/42451946,animalia,bivalvia
animalia — bivalvia,Shining Pea Mussel,Euglesa nitida,Stable,Global,Least Concern,https://www.iucnredlist.org/species/155659/58616181,animalia,bivalvia
animalia — bivalvia,Porous Pea Mussel,Euglesa obtusalis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/156122/4904565,animalia,bivalvia
animalia — bivalvia,Short-ended Pea Mussel,Euglesa subtruncata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/155908/42454034,animalia,bivalvia
plantae — magnoliopsida,,Eupatorium maculatum,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311534/67729481,plantae,magnoliopsida
plantae — magnoliopsida,,Euphorbia heterophylla,Stable,Global,Least Concern,https://www.iucnredlist.org/species/126519432/192136545,plantae,magnoliopsida
animalia — insecta,Anicia Checkerspot,Euphydryas anicia,Stable,Global,Least Concern,https://www.iucnredlist.org/species/209895813/210975081,animalia,insecta
plantae — magnoliopsida,California Barrel Cactus,Ferocactus cylindraceus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/152556/121539513,plantae,magnoliopsida
plantae — liliopsida,Ditch Fimbry,Fimbristylis schoenoides,Stable,Global,Least Concern,https://www.iucnredlist.org/species/177155/7378813,plantae,liliopsida
plantae — magnoliopsida,,Fraxinus anomala,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/96443671/96443673,plantae,magnoliopsida
plantae — magnoliopsida,,Fraxinus dipetala,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/96443856/96443862,plantae,magnoliopsida
plantae — magnoliopsida,Green Ash,Fraxinus pennsylvanica,Decreasing,Global,Critically Endangered,https://www.iucnredlist.org/species/61918934/61919002,plantae,magnoliopsida
plantae — magnoliopsida,,Fraxinus velutina,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/96444728/96444730,plantae,magnoliopsida
plantae — liliopsida,,Galanthus nivalis,Decreasing,"Global, Europe",Near Threatened,https://www.iucnredlist.org/species/162168/5551773,plantae,liliopsida
animalia — gastropoda,Prairie Fossaria,Galba bulimoides,Stable,Global,Least Concern,https://www.iucnredlist.org/species/189207/8701742,animalia,gastropoda
animalia — gastropoda,Rock Fossaria,Galba modicella,Stable,Global,Least Concern,https://www.iucnredlist.org/species/69620662/69632993,animalia,gastropoda
animalia — gastropoda,Golden Fossaria,Galba obrussa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/69620696/69632998,animalia,gastropoda
