Classification,Common Name,Scientific Name,Population Trend,Assessment,Conservation Status,IUCN Link,Kingdom,Class
plantae — magnoliopsida,Trifid Bur-marigold,Bidens tripartita,Stable,Global,Least Concern,https://www.iucnredlist.org/species/168750/42337582,plantae,magnoliopsida
animalia — mammalia,American Bison,Bison bison,Stable,Global,Near Threatened,https://www.iucnredlist.org/species/2815/123789863,animalia,mammalia
plantae — magnoliopsida,,Boisduvalia glabella,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64264444/67728588,plantae,magnoliopsida
plantae — liliopsida,Sea Club-Rush,Bolboschoenus maritimus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164276/1036571,plantae,liliopsida
animalia — insecta,White Shouldered Bumble Bee,Bombus appositus,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/44938356/46440331,animalia,insecta
animalia — insecta,Two Form Bumble Bee,Bombus bifarius,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937707/68999754,animalia,insecta
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient,https://www.iucnredlist.org/species/13152926/46440141,animalia,insecta
animalia — insecta,Central Bumble Bee,Bombus centralis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937777/69001290,animalia,insecta
animalia — insecta,Cryptic Bumblebee,Bombus cryptarum,Unknown,Global,Data Deficient,https://www.iucnredlist.org/species/13340340/46440146,animalia,insecta
animalia — insecta,Yellow Bumblebee,Bombus fervidus,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/21215132/21215225,animalia,insecta
animalia — insecta,Fernald Cuckoo Bumble Bee,Bombus flavidus,Stable,Global,Data Deficient,https://www.iucnredlist.org/species/13340361/46440156,animalia,insecta
animalia — insecta,Yellow Head Bumble Bee,Bombus flavifrons,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937784/46440266,animalia,insecta
animalia — insecta,Brown-belted Bumblebee,Bombus griseocollis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937645/46440221,animalia,insecta
animalia — insecta,Hunt Bumble Bee,Bombus huntii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/21215139/21215245,animalia,insecta
animalia — insecta,Indiscriminate Cuckoo Bumble Bee,Bombus insularis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937688/68984117,animalia,insecta
animalia — insecta,,Bombus kirbiellus,Unknown,Global,Data Deficient,https://www.iucnredlist.org/species/88088737/88291693,animalia,insecta
animalia — insecta,Black Tail Bumble Bee,Bombus melanopygus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937809/68983638,animalia,insecta
animalia — insecta,Fuzzy-horned Bumble Bee,Bombus mixtus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937898/69004061,animalia,insecta
animalia — insecta,Morrison Bumble Bee,Bombus morrisoni,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/44937666/69004519,animalia,insecta
animalia — insecta,Nevada Bumble Bee,Bombus nevadensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/21215146/21215273,animalia,insecta
animalia — insecta,Western Bumble Bee,Bombus occidentalis,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/44937492/46440201,animalia,insecta
animalia — insecta,American Bumblebee,Bombus pensylvanicus,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/21215172/21215281,animalia,insecta
animalia — insecta,Red-belted Bumble Bee,Bombus rufocinctus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/21215145/21215305,animalia,insecta
animalia — insecta,Sitka bumble bee,Bombus sitkensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937938/46440301,animalia,insecta
animalia — insecta,Suckley Cuckoo Bumble Bee,Bombus suckleyi,Decreasing,Global,Critically Endangered,https://www.iucnredlist.org/species/44937699/46440241,animalia,insecta
animalia — insecta,Forest Bumble Bee,Bombus sylvicola,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44937945/46440306,animalia,insecta
animalia — insecta,Yellow-banded Bumblebee,Bombus terricola,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/44937505/46440206,animalia,insecta
animalia — insecta,Half-black Bumblebee,Bombus vagans,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44938024/46440316,animalia,insecta
animalia — mammalia,Pygmy Rabbit,Brachylagus idahoensis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/2963/45176206,animalia,mammalia
animalia — insecta,Pale-faced Clubskimmer,Brechmorhoga mendax,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51272874/80694310,animalia,insecta
plantae — liliopsida,Bluejoint Reed Grass,Calamagrostis canadensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44393334/44439796,plantae,liliopsida
plantae — magnoliopsida,Autumnal Water-starwort,Callitriche hermaphroditica,Decreasing,Global,Least Concern,https://www.iucnredlist.org/species/167828/69585026,plantae,magnoliopsida
plantae — magnoliopsida,Two-headed water-starwort,Callitriche heterophylla,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64268932/66889787,plantae,magnoliopsida
plantae — magnoliopsida,Narrow-fruited Water-starwort,Callitriche palustris,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164452/69585303,plantae,magnoliopsida
plantae — magnoliopsida,Narrow-winged water-starwort,Callitriche stenoptera,Unknown,Global,Data Deficient,https://www.iucnredlist.org/species/69728164/69732469,plantae,magnoliopsida
animalia — insecta,River Jewelwing,Calopteryx aequabilis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165005/65826235,animalia,insecta
plantae — magnoliopsida,,Caltha leptosepala,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64269065/67728623,plantae,magnoliopsida
plantae — magnoliopsida,,Calystegia sepium,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/19224959/78457032,plantae,magnoliopsida
plantae — magnoliopsida,Bolander's Camissonia,Camissonia bolanderi,Unknown,Global,Vulnerable,https://www.iucnredlist.org/species/200512499/200528512,plantae,magnoliopsida
plantae — magnoliopsida,,Cardamine pensylvanica,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64269656/67728648,plantae,magnoliopsida
plantae — liliopsida,Aquatic sedge,Carex aquatilis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/167841/69584848,plantae,liliopsida
plantae — liliopsida,Arapaho Sedge,Carex arapahoensis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/44392588/44541190,plantae,liliopsida
plantae — liliopsida,Wheat sedge,Carex atherodes,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/175266/42325250,plantae,liliopsida
plantae — liliopsida,Bebb's sedge,Carex bebbii,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64270331/67728709,plantae,liliopsida
plantae — liliopsida,,Carex brunnescens,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64270380/67728719,plantae,liliopsida
plantae — liliopsida,White Sedge,Carex canescens,Stable,Global,Least Concern,https://www.iucnredlist.org/species/175302/44422250,plantae,liliopsida
plantae — liliopsida,,Carex diandra,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/19617611/19620866,plantae,liliopsida
plantae — liliopsida,Northern Bog Sedge,Carex gynocrates,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64271261/67728805,plantae,liliopsida
plantae — liliopsida,,Carex hystericina,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64271477/67728830,plantae,liliopsida
plantae — liliopsida,Inland sedge,Carex interior,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64271495/67728835,plantae,liliopsida
plantae — liliopsida,Twotipped Sedge,Carex lachenalii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44393064/44467538,plantae,liliopsida
plantae — liliopsida,Bristly-stalked sedge,Carex leptalea,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64271813/67728885,plantae,liliopsida
plantae — liliopsida,,Carex limosa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/167843/42343153,plantae,liliopsida
plantae — liliopsida,Woodrush sedge,Carex luzulina,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64272076/67728910,plantae,liliopsida
plantae — liliopsida,Tall Bog-sedge,Carex magellanica,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19617678/19621281,plantae,liliopsida
plantae — liliopsida,Bristle Sedge,Carex microglochin,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19617691/19621251,plantae,liliopsida
plantae — liliopsida,Nebraska sedge,Carex nebrascensis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64272375/67728945,plantae,liliopsida
plantae — liliopsida,Alpine Sedge,Carex norvegica,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44392761/44468013,plantae,liliopsida
plantae — liliopsida,Small-fruited Yellow-sedge,Carex oederi,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64272624/67728960,plantae,liliopsida
plantae — liliopsida,Parry's Sedge,Carex parryana,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44392280/44466959,plantae,liliopsida
plantae — liliopsida,Woolly sedge,Carex pellita,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273037/67728980,plantae,liliopsida
plantae — liliopsida,Knot-sheath sedge,Carex retrorsa,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273084/67729010,plantae,liliopsida
plantae — liliopsida,Ross' Sedge,Carex rossii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44392936/44466658,plantae,liliopsida
plantae — liliopsida,Sartwell's sedge,Carex sartwellii,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273119/67729020,plantae,liliopsida
plantae — liliopsida,Russet Sedge,Carex saxatilis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273122/67729025,plantae,liliopsida
plantae — liliopsida,Analogue sedge,Carex simulata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273165/67729045,plantae,liliopsida
plantae — liliopsida,Awl-fruited sedge,Carex stipata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273177/67729055,plantae,liliopsida
plantae — liliopsida,Beaked Sedge,Carex utriculata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64273589/67729105,plantae,liliopsida
plantae — liliopsida,,Carex vesicaria,Stable,Global,Least Concern,https://www.iucnredlist.org/species/167846/42370710,plantae,liliopsida
plantae — magnoliopsida,,Castilleja minor,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64310257/67729120,plantae,magnoliopsida
plantae — magnoliopsida,,Catalpa speciosa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/61985370/61985373,plantae,magnoliopsida
animalia — insecta,Calico Pennant,Celithemis elisa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164975/65822556,animalia,insecta
plantae — magnoliopsida,Common Hackberry,Celtis occidentalis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/61987996/61987998,plantae,magnoliopsida
plantae — magnoliopsida,,Cerastium arvense,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64310278/67729130,plantae,magnoliopsida
plantae — magnoliopsida,Rigid Hornwort,Ceratophyllum demersum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164459/120143653,plantae,magnoliopsida
plantae — magnoliopsida,,Cercis orbiculata,Unknown,Global,Data Deficient,https://www.iucnredlist.org/species/153824155/153835082,plantae,magnoliopsida
animalia — insecta,Common Wood-nymph,Cercyonis pegala,Stable,Global,Least Concern,https://www.iucnredlist.org/species/125855753/125886118,animalia,insecta
animalia — mammalia,Long-tailed Pocket Mouse,Chaetodipus formosus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/4331/22226290,animalia,mammalia
animalia — mammalia,Rock Pocket Mouse,Chaetodipus intermedius,Stable,Global,Least Concern,https://www.iucnredlist.org/species/4334/115068570,animalia,mammalia
animalia — mammalia,Desert Pocket Mouse,Chaetodipus penicillatus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/4336/115068852,animalia,mammalia
plantae — magnoliopsida,Partridge-pea,Chamaecrista nictitans,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19893070/20040380,plantae,magnoliopsida
animalia — reptilia,Northern Rubber Boa,Charina bottae,Stable,Global,Least Concern,https://www.iucnredlist.org/species/91863316/18978274,animalia,reptilia
animalia — reptilia,Snapping Turtle,Chelydra serpentina,Decreasing,Global,Least Concern,https://www.iucnredlist.org/species/163424/251347989,animalia,reptilia
plantae — magnoliopsida,,Chenopodium rubrum,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64310645/67729145,plantae,magnoliopsida
animalia — reptilia,Painted Turtle,Chrysemys picta,Stable,Global,Least Concern,https://www.iucnredlist.org/species/163467/97410447,animalia,reptilia
animalia — insecta,Coral Pink Sand Dunes Tiger Beetle,Cicindela albissima,Stable,Global,Critically Endangered,https://www.iucnredlist.org/species/64174124/64176982,animalia,insecta
plantae — magnoliopsida,,Cicuta maculata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64310721/67729176,plantae,magnoliopsida
plantae — liliopsida,Great Fen-Sedge,Cladium mariscus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164157/65910896,plantae,liliopsida
plantae — magnoliopsida,,Claytonia cordifolia,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/80603495/80958547,plantae,magnoliopsida
animalia — mammalia,Southern Red-backed Vole,Clethrionomys gapperi,Stable,Global,Least Concern,https://www.iucnredlist.org/species/42617/115195411,animalia,mammalia
animalia — insecta,Taiga Bluet,Coenagrion resolutum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164966/65822055,animalia,insecta
animalia — insecta,Orange Sulfur,Colias eurytheme,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/125855825/125886133,animalia,insecta
animalia — gastropoda,Rocky mountain duskysnail,Colligyrus greggi,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/189776/1937485,animalia,gastropoda
plantae — magnoliopsida,Marsh Cinquefoil,Comarum palustre,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64310797/67729186,plantae,magnoliopsida
animalia — insecta,Cristate Grasshopper,Conozoa texana,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/107981315/107981357,animalia,insecta
animalia — insecta,Apache Spiketail,Cordulegaster diadema,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164951/80682387,animalia,insecta
animalia — insecta,Pacific Spiketail,Cordulegaster dorsalis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50968962/65836214,animalia,insecta
animalia — insecta,American Emerald,Cordulia shurtleffii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50969369/65836229,animalia,insecta
plantae — magnoliopsida,,Cornus sericea,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/64310848/67729196,plantae,magnoliopsida
plantae — magnoliopsida,Sand Cholla,Corynopuntia pulchella,Stable,Global,Least Concern,https://www.iucnredlist.org/species/152015/121454316,plantae,magnoliopsida
plantae — magnoliopsida,,Crotalaria pumila,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19891771/20049942,plantae,magnoliopsida
plantae — magnoliopsida,Buffalo gourd,Cucurbita foetidissima,Stable,Global,Least Concern,https://www.iucnredlist.org/species/20742647/20755876,plantae,magnoliopsida
plantae — magnoliopsida,Coyote-melon,Cucurbita palmata,Decreasing,Global,Data Deficient,https://www.iucnredlist.org/species/109928737/109928807,plantae,magnoliopsida
plantae — magnoliopsida,Warner's Dodder,Cuscuta warneri,Unknown,Global,Data Deficient,https://www.iucnredlist.org/species/153754449/153954522,plantae,magnoliopsida
plantae — magnoliopsida,,Cylindropuntia acanthocarpa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/152855/121491804,plantae,magnoliopsida
plantae — magnoliopsida,,Cylindropuntia echinocarpa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/152740/121486897,plantae,magnoliopsida
